 Name                           Version          License                                                                                           Author                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   URL                                                                                            Description                                                                                                                                                                                                                                                                       
 mccabe                         0.7.0            MIT License                                                                                       Tarek Ziade                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              https://github.com/pycqa/mccabe                                                                McCabe checker, plugin for flake8                                                                                                                                                                                                                                                 
 mdit-py-plugins                0.5.0            MIT License                                                                                       Chris Sewell <chrisj_sewell@hotmail.com>                                                                                                                                                                                                                                                                                                                                                                                                                                                                 https://github.com/executablebooks/mdit-py-plugins                                             Collection of plugins for markdown-it-py                                                                                                                                                                                                                                          
 mdurl                          0.1.2            MIT License                                                                                       Taneli Hukkinen <hukkin@users.noreply.github.com>                                                                                                                                                                                                                                                                                                                                                                                                                                                        https://github.com/executablebooks/mdurl                                                       Markdown URL utilities                                                                                                                                                                                                                                                            
 mistune                        3.1.3            BSD License                                                                                       Hsiaoming Yang <me@lepture.com>                                                                                                                                                                                                                                                                                                                                                                                                                                                                          https://github.com/lepture/mistune                                                             A sane and fast Markdown parser with useful plugins and renderers                                                                                                                                                                                                                 
 more-itertools                 10.7.0           MIT License                                                                                       Erik Rose <erikrose@grinchcentral.com>                                                                                                                                                                                                                                                                                                                                                                                                                                                                   https://github.com/more-itertools/more-itertools                                               More routines for operating on iterables, beyond itertools                                                                                                                                                                                                                        
 mpmath                         1.3.0            BSD License                                                                                       Fredrik Johansson                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        http://mpmath.org/                                                                             Python library for arbitrary-precision floating-point arithmetic                                                                                                                                                                                                                  
 msgpack                        1.1.1            Apache 2.0                                                                                        Inada Naoki <songofacandy@gmail.com>                                                                                                                                                                                                                                                                                                                                                                                                                                                                     https://msgpack.org/                                                                           MessagePack serializer                                                                                                                                                                                                                                                            
 multidict                      6.6.4            Apache License 2.0                                                                                Andrew Svetlov                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           https://github.com/aio-libs/multidict                                                          multidict implementation                                                                                                                                                                                                                                                          
 mypy                           1.17.1           MIT License                                                                                       Jukka Lehtosalo <jukka.lehtosalo@iki.fi>                                                                                                                                                                                                                                                                                                                                                                                                                                                                 https://www.mypy-lang.org/                                                                     Optional static typing for Python                                                                                                                                                                                                                                                 
 mypy_extensions                1.1.0            UNKNOWN                                                                                           The mypy developers <jukka.lehtosalo@iki.fi>                                                                                                                                                                                                                                                                                                                                                                                                                                                             https://github.com/python/mypy_extensions                                                      Type system extensions for programs checked with the mypy type checker.                                                                                                                                                                                                           
 myst-parser                    4.0.1            MIT License                                                                                       Chris Sewell <chrisj_sewell@hotmail.com>                                                                                                                                                                                                                                                                                                                                                                                                                                                                 https://github.com/executablebooks/MyST-Parser                                                 An extended [CommonMark](https://spec.commonmark.org/) compliant parser,                                                                                                                                                                                                          
 narwhals                       2.1.1            MIT License                                                                                       Marco Gorelli <hello_narwhals@proton.me>                                                                                                                                                                                                                                                                                                                                                                                                                                                                 https://github.com/narwhals-dev/narwhals                                                       Extremely lightweight compatibility layer between dataframe libraries                                                                                                                                                                                                             
 nbclient                       0.10.2           BSD License                                                                                       Jupyter Development Team <jupyter@googlegroups.com>                                                                                                                                                                                                                                                                                                                                                                                                                                                      https://jupyter.org                                                                            A client library for executing notebooks. Formerly nbconvert's ExecutePreprocessor.                                                                                                                                                                                               
 nbconvert                      7.16.6           BSD License                                                                                       Jupyter Development Team <jupyter@googlegroups.com>                                                                                                                                                                                                                                                                                                                                                                                                                                                      https://jupyter.org                                                                            Converting Jupyter Notebooks (.ipynb files) to other formats.  Output formats include asciidoc, html, latex, markdown, pdf, py, rst, script.  nbconvert can be used both as a Python library (`import nbconvert`) or as a command line tool (invoked as `jupyter nbconvert ...`). 
 nbformat                       5.10.4           BSD License                                                                                       Jupyter Development Team <jupyter@googlegroups.com>                                                                                                                                                                                                                                                                                                                                                                                                                                                      https://jupyter.org                                                                            The Jupyter Notebook format                                                                                                                                                                                                                                                       
 nbqa                           1.9.1            MIT License                                                                                       Marco Gorelli, Girish Pasupathy, Sebastian Weigand                                                                                                                                                                                                                                                                                                                                                                                                                                                       https://github.com/nbQA-dev/nbQA                                                               Run any standard Python code quality tool on a Jupyter Notebook                                                                                                                                                                                                                   
 nbsphinx                       0.9.7            MIT License                                                                                       Matthias Geier                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           https://nbsphinx.readthedocs.io/                                                               Jupyter Notebook Tools for Sphinx                                                                                                                                                                                                                                                 
 nbval                          0.11.0           BSD License                                                                                       Laslett, Cortes, Fauske, Kluyver, Pepper, Fangohr                                                                                                                                                                                                                                                                                                                                                                                                                                                        https://github.com/computationalmodelling/nbval                                                A py.test plugin to validate Jupyter notebooks                                                                                                                                                                                                                                    
 nest-asyncio                   1.6.0            BSD License                                                                                       Ewald R. de Wit                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          https://github.com/erdewit/nest_asyncio                                                        Patch asyncio to allow nested event loops                                                                                                                                                                                                                                         
 networkx                       3.4.2            BSD License                                                                                       Aric Hagberg <hagberg@lanl.gov>                                                                                                                                                                                                                                                                                                                                                                                                                                                                          https://networkx.org/                                                                          Python package for creating and manipulating graphs and networks                                                                                                                                                                                                                  
 ninja                          1.13.0           Apache Software License; BSD License                                                              Jean-Christophe Fillion-Robin <scikit-build@googlegroups.com>, Henry Schreiner <henryfs@princeton.edu>                                                                                                                                                                                                                                                                                                                                                                                                   http://ninja-build.org/                                                                        Ninja is a small build system with a focus on speed                                                                                                                                                                                                                               
 notebook_shim                  0.2.4            BSD License                                                                                       Jupyter Development Team <jupyter@googlegroups.com>                                                                                                                                                                                                                                                                                                                                                                                                                                                      UNKNOWN                                                                                        A shim layer for notebook traits and config                                                                                                                                                                                                                                       
 numpy                          1.26.4           BSD License                                                                                       Travis E. Oliphant et al.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                https://numpy.org                                                                              Fundamental package for array computing in Python                                                                                                                                                                                                                                 
 oauthlib                       3.3.1            BSD-3-Clause                                                                                      The OAuthlib Community                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   https://github.com/oauthlib/oauthlib                                                           A generic, spec-compliant, thorough implementation of the OAuth request-signing logic                                                                                                                                                                                             
 open3d                         0.19.0           MIT License                                                                                       Open3D Team                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              https://www.open3d.org                                                                         Open3D: A Modern Library for 3D Data Processing.                                                                                                                                                                                                                                  
 open_clip_torch                3.1.0            MIT License                                                                                       Gabriel Ilharco, Mitchell Wortsman, Romain Beaumont                                                                                                                                                                                                                                                                                                                                                                                                                                                      https://github.com/mlfoundations/open_clip                                                     Open reproduction of consastive language-image pretraining (CLIP) and related.                                                                                                                                                                                                    
 opencv-python                  4.11.0.86        Apache Software License                                                                           UNKNOWN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  https://github.com/opencv/opencv-python                                                        Wrapper package for OpenCV python bindings.                                                                                                                                                                                                                                       
 opencv-python-headless         4.10.0.84        Apache Software License                                                                           UNKNOWN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  https://github.com/opencv/opencv-python                                                        Wrapper package for OpenCV python bindings.                                                                                                                                                                                                                                       
 opt_einsum                     3.4.0            MIT License                                                                                       Daniel Smith <dgasmith@icloud.com>                                                                                                                                                                                                                                                                                                                                                                                                                                                                       UNKNOWN                                                                                        Path optimization of einsum functions.                                                                                                                                                                                                                                            
 optuna                         4.5.0            MIT License                                                                                       Takuya Akiba                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             https://optuna.org/                                                                            A hyperparameter optimization framework                                                                                                                                                                                                                                           
 optuna-integration             4.5.0            MIT License                                                                                       UNKNOWN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  https://github.com/optuna/optuna-integration                                                   Integration libraries of Optuna.                                                                                                                                                                                                                                                  
 overrides                      7.7.0            Apache License, Version 2.0                                                                       Mikko Korpela                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            https://github.com/mkorpela/overrides                                                          A decorator to automatically detect mismatch when overriding a method.                                                                                                                                                                                                            
 packaging                      25.0             Apache Software License; BSD License                                                              Donald Stufft <donald@stufft.io>                                                                                                                                                                                                                                                                                                                                                                                                                                                                         https://github.com/pypa/packaging                                                              Core utilities for Python packages                                                                                                                                                                                                                                                
 pandas                         2.3.1            BSD License                                                                                       The Pandas Development Team <pandas-dev@python.org>                                                                                                                                                                                                                                                                                                                                                                                                                                                      https://pandas.pydata.org                                                                      Powerful data structures for data analysis, time series, and statistics                                                                                                                                                                                                           
 pandocfilters                  1.5.1            BSD License                                                                                       John MacFarlane                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          http://github.com/jgm/pandocfilters                                                            Utilities for writing pandoc filters in python                                                                                                                                                                                                                                    
 panel                          1.7.5            BSD License                                                                                       HoloViz developers <developers@holoviz.org>                                                                                                                                                                                                                                                                                                                                                                                                                                                              https://panel.holoviz.org                                                                      The powerful data exploration & web app framework for Python.                                                                                                                                                                                                                     
 param                          2.2.1            BSD License                                                                                       HoloViz <developers@holoviz.org>                                                                                                                                                                                                                                                                                                                                                                                                                                                                         https://param.holoviz.org/                                                                     Make your Python code clearer and more reliable by declaring Parameters.                                                                                                                                                                                                          
 parso                          0.8.4            MIT License                                                                                       David Halter                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             https://github.com/davidhalter/parso                                                           A Python Parser                                                                                                                                                                                                                                                                   
 pathspec                       0.12.1           Mozilla Public License 2.0 (MPL 2.0)                                                              "Caleb P. Burns" <cpburnz@gmail.com>                                                                                                                                                                                                                                                                                                                                                                                                                                                                     UNKNOWN                                                                                        Utility library for gitignore style pattern matching of file paths.                                                                                                                                                                                                               
 peft                           0.17.0           Apache Software License                                                                           The HuggingFace team                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     https://github.com/huggingface/peft                                                            Parameter-Efficient Fine-Tuning (PEFT)                                                                                                                                                                                                                                            
 pexpect                        4.9.0            ISC License (ISCL)                                                                                Noah Spurrier; Thomas Kluyver; Jeff Quast                                                                                                                                                                                                                                                                                                                                                                                                                                                                https://pexpect.readthedocs.io/                                                                Pexpect allows easy control of interactive console applications.                                                                                                                                                                                                                  
 pi_heif                        1.1.0            GNU Lesser General Public License v3 (LGPLv3)                                                     Alexander Piskun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         https://github.com/bigcat88/pillow_heif                                                        Python interface for libheif library                                                                                                                                                                                                                                              
 pillow                         11.3.0           UNKNOWN                                                                                           "Jeffrey A. Clark" <aclark@aclark.net>                                                                                                                                                                                                                                                                                                                                                                                                                                                                   https://python-pillow.github.io                                                                Python Imaging Library (Fork)                                                                                                                                                                                                                                                     
 pillow-avif-plugin             1.5.2            MIT License                                                                                       Frankie Dintino                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          https://github.com/fdintino/pillow-avif-plugin/                                                A pillow plugin that adds avif support via libavif                                                                                                                                                                                                                                
 platformdirs                   4.3.8            MIT License                                                                                       UNKNOWN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  https://github.com/tox-dev/platformdirs                                                        A small Python package for determining appropriate platform-specific dirs, e.g. a `user data dir`.                                                                                                                                                                                
